Time,Altitude,Speed,Pitch,Roll,Yaw,Throttle
0,100,148,1.8,0.5,180,83
0.1,100.3,149,1.9,0.6,180.1,83
0.2,100.8,150.2,2.1,0.5,180.2,84
0.3,101.5,151.8,2.5,0.4,180.3,84
0.4,102.4,153.7,3.0,0.2,180.4,85
0.5,103.5,155.9,3.6,-0.1,180.5,85
0.6,104.9,158.3,4.2,-0.4,180.6,86
0.7,106.5,161.0,4.9,-0.7,180.7,86
0.8,108.3,163.9,5.5,-1.0,180.8,87
0.9,110.4,167.0,6.1,-1.2,180.9,87
1.0,112.7,170.3,6.7,-1.3,181.0,88
1.1,115.2,173.8,7.2,-1.4,181.1,88
1.2,117.9,177.5,7.6,-1.5,181.2,89
1.3,120.8,181.3,7.9,-1.4,181.3,89
1.4,123.9,185.3,8.1,-1.3,181.4,90
1.5,127.2,189.4,8.3,-1.2,181.5,90
1.6,130.7,193.6,8.4,-1.0,181.6,91
1.7,134.4,197.9,8.4,-0.8,181.7,91
1.8,138.3,202.3,8.4,-0.6,181.8,92
1.9,142.4,206.8,8.3,-0.4,181.9,92
2.0,146.7,211.4,8.1,-0.2,182.0,93
2.1,151.2,216.1,7.9,0.0,182.1,93
2.2,155.9,220.9,7.6,0.2,182.2,94
2.3,160.8,225.8,7.2,0.4,182.3,94
2.4,165.9,230.8,6.8,0.6,182.4,95
2.5,171.2,235.9,6.3,0.8,182.5,95
2.6,176.7,241.1,5.7,1.0,182.6,96
2.7,182.4,246.4,5.1,1.2,182.7,96
2.8,188.3,251.8,4.5,1.3,182.8,97
2.9,194.4,257.3,3.8,1.4,182.9,97
3.0,200.7,262.9,3.1,1.5,183.0,98
